cert_id,exam_code,name,provider,level,domain,typical_study_days,difficulty_multiplier,validity_years,retired,superseded_by_cert_id
aws-cp,CLF-C02,AWS Certified Cloud Practitioner,aws,foundational,General,3,1.0,3,false,
aws-aip,AIF-C01,AWS Certified AI Practitioner,aws,foundational,AI/ML,4,1.0,3,false,
aws-saa,SAA-C03,AWS Certified Solutions Architect - Associate,aws,associate,Architecture,8,1.5,3,false,
aws-dva,DVA-C02,AWS Certified Developer - Associate,aws,associate,Development,8,1.5,3,false,
aws-soa,SOA-C02,AWS Certified SysOps Administrator - Associate,aws,associate,Operations,9,1.5,3,false,
aws-dea,DEA-C01,AWS Certified Data Engineer - Associate,aws,associate,Data,10,1.6,3,false,
aws-mla,MLA-C01,AWS Certified Machine Learning Engineer - Associate,aws,associate,AI/ML,10,1.6,3,false,
aws-sap,SAP-C02,AWS Certified Solutions Architect - Professional,aws,professional,Architecture,15,2.6,3,false,
aws-dop,DOP-C02,AWS Certified DevOps Engineer - Professional,aws,professional,DevOps,15,2.5,3,false,
aws-ans,ANS-C01,AWS Certified Advanced Networking - Specialty,aws,specialty,Networking,14,2.2,3,false,
aws-scs,SCS-C02,AWS Certified Security - Specialty,aws,specialty,Security,12,2.0,3,false,
aws-mls,MLS-C01,AWS Certified Machine Learning - Specialty,aws,specialty,AI/ML,14,2.1,3,false,
aws-das,DAS-C01,AWS Certified Data Analytics - Specialty,aws,specialty,Data,13,2.0,3,true,
aws-dbs,DBS-C01,AWS Certified Database - Specialty,aws,specialty,Data,13,2.0,3,true,
aws-pas,PAS-C01,AWS Certified SAP on AWS - Specialty,aws,specialty,Workloads,12,2.0,3,true,
